FactType,Param1,Param2,AID,L,R,TID,const,label,name,owneeLowerMult,owneeUpperMult,ownerLowerMult,ownerUpperMult,returnType,static,type,typeID,visibility,visiblity
Class,_10_0EAPbeta2_8740266_1126078506421_415921_4484,,,,,,,VideoRecord,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_856835_4485,,,,,,,AttributeSchema,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_575155_4481,,,,,,,AudioRecord,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_183536_4483,,,,,,,InvalidAttributeException,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_653760_4475,,,,,,,Book,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_418534_4482,,,,,,,LibraryItem,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_134970_4473,,,,,,,DataItem,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_594074_4480,,,,,,,PeriodicIssue,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_853215_4489,,,,,,,Loan,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_695807_4488,,,,,,,ReservationLine,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_881549_4490,,,,,,,Return,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_186580_4487,,,,,,,Penalty,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506421_610392_4491,,,,,,,Reservation,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_625214_4461,,,,,,,Customer,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_551104_4466,,,,,,,Address,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_759352_4463,,,,,,,Profile,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_985296_4470,,,,,,,User,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_278896_4471,,,,,,,Librarian,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_969603_4462,,,,,,,LibrarianProfile,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_435892_4467,,,,,,,CustomerProfile,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126078506406_139002_4469,,,,,,,Administrator,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779890_82916_874,,,,,,,Return Date,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_694366_861,,,,,,,Customer,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_140810_870,,,,,,,Penalty,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_939002_863,,,,,,,Loan,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_953358_867,,,,,,,Loan Date,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_50460_869,,,,,,,Return,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_181240_860,,,,,,,Librarian,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779875_552604_862,,,,,,,Library Item,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779890_628535_872,,,,,,,Return Due Time,,,,,,,,,,,
Class,_10_0EAPbeta2_8740266_1126081779906_248487_879,,,,,,,Maximum Loan Time,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_607143_295,egiva_1022741650526_549509_350,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_916020_383,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_667051_307,egiva_1022741650526_475363_332,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_855254_329,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650526_291640_306,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_885586_297,egiva_1022741650526_711449_314,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_867478_335,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_526417_316,egiva_1022741650526_938319_311,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_526417_316,egiva_1022741650526_784803_322,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650526_927735_325,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_381031_301,egiva_1022741650526_983517_242,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650526_636953_381,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_696473_388,egiva_1022741650526_464727_336,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_381031_301,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_890256_262,egiva_1022741650526_373729_355,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_916020_383,egiva_1022741650526_462027_228,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_184495_347,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_897053_327,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741651728_639740_1728,egiva_1022741650887_798135_762,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741651728_639740_1728,egiva_1022741651728_523785_1734,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741651728_639740_1728,egiva_1022741651728_306782_1731,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741651728_523785_1734,egiva_1022741651728_275292_1729,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741651728_639740_1728,egiva_1022741651728_635498_1732,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650516_973296_214,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_475363_332,egiva_1022741650526_986047_342,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_477410_233,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_986047_342,egiva_1022741650526_834578_300,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_667051_307,egiva_1022741650526_248886_386,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_607143_295,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_462360_365,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650516_998867_218,egiva_1022741650526_144799_308,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_925823_298,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650526_656159_237,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_550730_305,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650516_524290_215,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_607143_295,egiva_1022741650526_440486_362,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_357449_289,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_916020_383,egiva_1022741650526_214647_231,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_292147_340,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_670946_288,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_986047_342,egiva_1022741650526_331573_243,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_575312_254,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741653290_850723_3298,egiva_1022741650877_707428_747,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_696473_388,egiva_1022741653290_402446_3306,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741653290_850723_3298,egiva_1022741651017_566843_873,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741653290_850723_3298,egiva_1022741651017_818027_877,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741653290_534574_3311,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741653290_505550_3315,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_986047_342,egiva_1022741650526_807118_247,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650526_526417_316,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_526417_316,egiva_1022741650526_129684_255,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_358383_330,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_838753_296,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_475363_332,egiva_1022741650526_613595_354,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_905220_229,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_758198_282,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_528747_299,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_358383_330,egiva_1022741650526_711075_240,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_986047_342,egiva_1022741650526_517481_309,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_746190_260,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_526417_316,egiva_1022741650526_565030_249,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_475363_332,egiva_1022741650526_413878_259,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_962152_356,egiva_1022741650526_511426_303,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_475363_332,egiva_1022741650526_567190_270,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_248886_386,egiva_1022741650526_766527_319,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_526417_316,egiva_1022741650526_521579_234,,,,,,,,,,,,,,,,,
InheritsFrom,egiva_1022741650526_613595_354,egiva_1022741650516_396130_225,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506453_598534_4625,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506453_999302_4623,,,,,,,,,,,,,,,,,
InheritsFrom,_10_0EAPbeta2_8740266_1126078506453_420208_4624,_10_0EAPbeta2_8740266_1126078506468_336688_4630,,,,,,,,,,,,,,,,,
