FactType,Param1,Param2,G,R,Region,SM,effect,eid,eventId,guardVal,label,name,parent,signalId,transID,trigger,type
contains,GUID+3c06b612-2887-11d3-ac08-0010a4f1d0f6,GUID+3c06b619-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,,,,,
contains,GUID+3c06b612-2887-11d3-ac08-0010a4f1d0f6,GUID+3c06b61e-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,,,,,
contains,GUID+3c06b612-2887-11d3-ac08-0010a4f1d0f6,_mapN-JlbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
contains,GUID+3c06b60f-2887-11d3-ac08-0010a4f1d0f6,GUID+3c06b614-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,,,,,
contains,GUID+3c06b614-2887-11d3-ac08-0010a4f1d0f6,GUID+3c06b621-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,,,,,
contains,GUID+3c06b614-2887-11d3-ac08-0010a4f1d0f6,GUID+3c06b623-2887-11d3-ac08-0010a4f1d0f6,,,,,,,,,,,,,,,
contains,GUID+3c06b614-2887-11d3-ac08-0010a4f1d0f6,_mapOC5lbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
contains,OLDID+1424988+257,OLDID+1424988+279,,,,,,,,,,,,,,,
contains,OLDID+1424988+279,OLDID+1424988+289,,,,,,,,,,,,,,,
contains,OLDID+1424988+279,OLDID+1424988+283,,,,,,,,,,,,,,,
contains,OLDID+1424988+279,_mapOK5lbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
contains,OLDID+1424988+257,OLDID+1424988+263,,,,,,,,,,,,,,,
contains,OLDID+1424988+263,OLDID+1424988+267,,,,,,,,,,,,,,,
contains,OLDID+1424988+263,OLDID+1424988+273,,,,,,,,,,,,,,,
contains,OLDID+1424988+263,_mapOOJlbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
contains,OLDID+1424988+452,OLDID+1424988+461,,,,,,,,,,,,,,,
contains,OLDID+1424988+461,OLDID+1424988+465,,,,,,,,,,,,,,,
contains,OLDID+1424988+461,OLDID+1424988+476,,,,,,,,,,,,,,,
contains,OLDID+1424988+461,OLDID+1424988+482,,,,,,,,,,,,,,,
contains,OLDID+1424988+461,OLDID+1424988+488,,,,,,,,,,,,,,,
contains,OLDID+1424988+461,_map0M5lbEeqp3LAywGB6vQ,,,,,,,,,,,,,,,
